paper_id,bibkey,coder_id,coding_date,axis_1a_primary,axis_1a_secondary,axis_1b_primary,axis_1b_secondary,axis_1c_modality_set,axis_2_primary,axis_2_secondary,axis_3a_primary,axis_3a_secondary,axis_3b_memory_techniques,axis_4a_primary,axis_4a_secondary,axis_4b_primary,axis_4b_secondary,axis_5_primary,axis_5_secondary,hardware_reported,hardware_tier,compute_value,compute_reported,trainable_params_count,trainable_params_percent,datasets,task,efficiency_engagement,domain_relevance,simulation_methodology,variants_explored,coder_notes,uncertainty_flags
feng2023fedmultimodal,feng2023fedmultimodal,coder_A,2026-05-23,unimodal-pretrained-frozen,NA,late-fusion,attention-based,audio|vision-image|vision-video|text|physiological|motion,frozen-backbone-linear,NA,other-specify,NA,none-reported,NR,NA,none,NA,federated,NA,NR,NR,NA,FALSE,NR,NR,multiple,multimodal-activity-recognition,primary,NA,NA,Federated optimizers coded as other-specify,axis_3a_primary
nagrani2021attention,nagrani2021attention,coder_A,2026-05-23,unimodal-pretrained-tuned,NA,bottleneck-attention,NA,vision-video|audio,full-FT,NA,SGD-momentum,NA,none-reported,NR,NA,none,NA,other-specify,NA,TPU accelerators,enterprise,NA,FALSE,NR,NR,AudioSet|Epic-Kitchens|VGGSound,audio-visual-event-localization,primary,NA,NA,Trained on TPU pods via Scenic,axis_5_primary
cai2024lora,cai2024lora,coder_A,2026-05-23,mixed,NA,late-fusion,NA,audio|text,hybrid,LoRA-family,other-specify,NA,none-reported,NR,NA,none,NA,single-GPU,NA,GeForce RTX 4090,consumer,NA,FALSE,NR,NR,IEMOCAP,categorical-emotion-recognition,primary,NA,NA,Adam optimizer without W coded as other-specify; Hybrid adaptation due to frozen text and LoRA audio,axis_2_primary
liu2018lmf,liu2018lmf,coder_A,2026-05-23,from-scratch,NA,tensor-fusion,NA,audio|vision-video|text,full-FT,NA,NR,NA,none-reported,NR,NA,none,NA,single-GPU,NA,NR,NR,NA,FALSE,NR,NR,CMU-MOSI|POM|IEMOCAP,multimodal-sentiment-analysis,primary,NA,NA,LMF tensor decomposition,NA
gao2023llamaadapterv2,gao2023llamaadapterv2,coder_A,2026-05-23,unimodal-pretrained-frozen,NA,linear-mlp-projection,NA,vision-image|text,zero-init-attention,hybrid,AdamW-standard,NA,none-reported,FP16-mixed,NA,none,NA,single-node-multi-GPU-DDP,NA,8x A100,enterprise,NA,FALSE,14M,NR,COCO|ScienceQA,multimodal-instruction-following,primary,NA,early fusion ablations,Unlocked norm/bias in addition to zero-init,axis_1b_primary
chen2025grpo,chen2025grpo,coder_A,2026-05-24,unimodal-pretrained-frozen,NA,other-specify,NA,audio|vision-video|text,LoRA-family,NA,other-specify,NA,none-reported,NR,NA,none,NA,NR,NR,NR,NR,NA,FALSE,NR,NR,MELD|IEMOCAP,categorical-emotion-recognition,secondary,NA,unimodal vs multimodal reward ablations,Uses GRPO for policy optimization on modality selection; coded optimizer as other-specify,axis_1b_primary|axis_3a_primary
zhang2023llamaadapter,zhang2023llamaadapter,coder_A,2026-05-24,unimodal-pretrained-frozen,NA,linear-mlp-projection,NA,vision-image|text,zero-init-attention,NA,AdamW-standard,NA,none-reported,FP16-mixed,NA,none,NA,single-node-multi-GPU-DDP,NA,8x A100,enterprise,NA,FALSE,1.2M,NR,COCO|ScienceQA,multimodal-instruction-following,primary,NA,NA,V1 of LLaMA-Adapter,NA
luo2023lavin,luo2023lavin,coder_A,2026-05-24,unimodal-pretrained-frozen,NA,gated-mixture,NA,vision-image|text,adapter-modules,NA,AdamW-standard,NA,none-reported,FP16-mixed,NA,none,NA,single-node-multi-GPU-DDP,NA,8x RTX 3090,prosumer,NA,FALSE,3.8M,NR,ScienceQA,multimodal-instruction-following,primary,NA,Dynamic routing ablations,Mixture-of-Modality Adaptation routes features,axis_1b_primary
fang2025mmlora,fang2025mmlora,coder_A,2026-05-24,unimodal-pretrained-frozen,multimodal-pretrained,linear-mlp-projection,query-based,audio|text,LoRA-family,hybrid,AdamW-standard,NA,none-reported,NR,NA,none,NA,single-node-multi-GPU-DDP,NA,NVIDIA A800 80GB GPUs,enterprise,NR,FALSE,NR,NR,IEMOCAP,categorical-emotion-recognition,primary,NA,w/o memory; MOE-LORA w/o gender,Top-2 routing of 8 LoRA experts; coded sparsity as none because MoE is applied to PEFT adapters rather than backbone,NA
qiu2025feddisc,qiu2025feddisc,coder_A,2026-05-24,unimodal-pretrained-frozen,NA,other-specify,NA,audio|vision-video|text,full-FT,NA,NR,NA,none-reported,NR,NA,none,NA,federated,NA,NR,NR,NR,FALSE,NR,NR,IEMOCAP,categorical-emotion-recognition,primary,NA,Modality absence ratios,Diffusion-based recovery module coded as other-specify for fusion,axis_1b_primary
zadeh2017tfn,zadeh2017tfn,coder_A,2026-05-24,from-scratch,NA,tensor-fusion,NA,audio|vision-video|text,full-FT,NA,other-specify,NA,none-reported,FP32,NA,none,NA,NR,NA,NR,NR,NR,FALSE,NR,NR,CMU-MOSI,multimodal-sentiment-analysis,incidental,NA,NA,Foundational TFN paper. Inefficient by design (causes exponential blowup) which motivated the efficiency field.,NA
zhang2023videollama,zhang2023videollama,coder_A,2026-05-24,unimodal-pretrained-frozen,multimodal-pretrained,query-based,NA,audio|vision-video|text,prefix-prompt-tuning,NA,AdamW-standard,NA,none-reported,NR,NA,none,NA,ZeRO-family-NR-stage,NA,enterprise clusters,enterprise,NR,FALSE,NR,NR,WebVid|CC3M,multimodal-instruction-following,secondary,NA,NA,Q-formers output soft prompts for a frozen LLM.,axis_2_primary
